City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Asau,RO,46.4333,26.4,51.28,80,88,1.12,light rain
1,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,93,75,4.61,broken clouds
2,Qaanaaq,GL,77.484,-69.3632,-0.54,69,0,8.77,clear sky
3,Rawson,AR,-43.3002,-65.1023,77.86,28,50,7.23,scattered clouds
4,Batemans Bay,AU,-35.7167,150.1833,60.1,87,100,2.53,overcast clouds
5,Vaini,TO,-21.2,-175.2,78.96,78,75,8.05,broken clouds
6,Waingapu,ID,-9.6567,120.2641,80.1,81,100,1.77,overcast clouds
7,Kapaa,US,22.0752,-159.319,73.09,91,100,19.57,moderate rain
8,Ruwi,OM,23.5996,58.5507,78.49,34,63,2.64,broken clouds
9,Albac,RO,46.45,22.9667,47.01,90,46,3.58,scattered clouds
10,Saldanha,ZA,-33.0117,17.9442,64.45,92,74,11.23,broken clouds
11,Clyde River,CA,70.4692,-68.5914,14.23,73,40,5.75,scattered clouds
12,Rikitea,PF,-23.1203,-134.9692,69.46,75,100,17.92,overcast clouds
13,Slave Lake,CA,55.2834,-114.769,57.18,51,0,4.61,clear sky
14,Ushuaia,AR,-54.8,-68.3,51.42,76,75,19.57,broken clouds
15,Naze,JP,28.3667,129.4833,70.72,62,8,19.93,clear sky
16,Samarai,PG,-10.6167,150.6667,82.13,79,34,13.91,scattered clouds
17,Raudeberg,NO,61.9875,5.1352,41.95,66,100,3.04,overcast clouds
18,Hobart,AU,-42.8794,147.3294,50.25,85,20,4.61,few clouds
19,Yanam,IN,16.7333,82.2167,76.62,90,38,4.88,scattered clouds
20,Chuy,UY,-33.6971,-53.4616,65.17,81,8,11.61,clear sky
21,Hithadhoo,MV,-0.6,73.0833,80.58,76,96,8.32,overcast clouds
22,Broken Hill,AU,-31.95,141.4333,59.99,97,100,12.41,overcast clouds
23,Amahai,ID,-3.3333,128.9167,78.64,86,96,3.78,overcast clouds
24,Ambunti,PG,-4.2365,142.8448,71.96,98,100,0.69,overcast clouds
25,Pandan,PH,14.0453,124.1694,78.17,85,85,3.62,overcast clouds
26,Boca Do Acre,BR,-8.7522,-67.3978,91.35,47,100,1.95,overcast clouds
27,Cherskiy,RU,68.75,161.3,19.96,94,100,7.49,overcast clouds
28,Busselton,AU,-33.65,115.3333,57.38,85,93,7.36,overcast clouds
29,Bethel,US,41.3712,-73.414,53.69,52,75,10.36,broken clouds
30,Joensuu,FI,62.6012,29.7632,36.09,93,0,4.61,clear sky
31,Penhold,CA,52.1334,-113.8687,75.0,22,0,3.44,clear sky
32,Mizdah,LY,31.4451,12.9801,63.32,70,15,7.99,light rain
33,Bathsheba,BB,13.2167,-59.5167,86.61,74,40,13.8,scattered clouds
34,Saint-Augustin,CA,51.226,-58.6502,54.19,76,93,9.22,overcast clouds
35,Auchel,FR,50.5034,2.4735,61.2,86,99,12.86,overcast clouds
36,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,88,100,11.5,moderate rain
37,Upernavik,GL,72.7868,-56.1549,20.86,89,100,1.99,light snow
38,East London,ZA,-33.0153,27.9116,74.34,89,79,13.89,broken clouds
39,Mahebourg,MU,-20.4081,57.7,70.09,64,20,4.61,few clouds
40,New Norfolk,AU,-42.7826,147.0587,50.92,65,77,2.28,broken clouds
41,Herat,AF,34.5,62.0,46.18,79,0,8.05,clear sky
42,Leningradskiy,RU,69.3833,178.4167,29.12,93,100,23.38,overcast clouds
43,Cabo San Lucas,MX,22.8909,-109.9124,89.62,61,20,9.22,few clouds
44,Sri Aman,MY,1.2376,111.4621,75.25,100,100,0.0,overcast clouds
45,Castro,BR,-24.7911,-50.0119,70.41,81,2,4.59,clear sky
46,Faanui,PF,-16.4833,-151.75,77.68,77,4,7.38,light rain
47,Mataura,NZ,-46.1927,168.8643,46.24,76,70,6.42,broken clouds
48,Chokurdakh,RU,70.6333,147.9167,-7.2,100,100,2.26,overcast clouds
49,Antofagasta,CL,-23.65,-70.4,61.88,69,25,9.48,scattered clouds
50,Tuatapere,NZ,-46.1333,167.6833,45.46,79,43,7.11,scattered clouds
51,Galveston,US,29.3669,-94.9669,70.18,30,0,8.05,clear sky
52,Plettenberg Bay,ZA,-34.0527,23.3716,67.19,88,45,12.59,scattered clouds
53,Raton,US,36.9034,-104.4391,71.94,17,0,5.75,clear sky
54,Axim,GH,4.8699,-2.2405,77.83,85,43,6.46,scattered clouds
55,Balakliya,UA,49.4627,36.8595,50.97,92,100,3.83,overcast clouds
56,Cape Town,ZA,-33.9258,18.4232,66.34,79,75,9.22,broken clouds
57,Butaritari,KI,3.0707,172.7902,81.32,71,100,14.9,overcast clouds
58,Fairbanks,US,64.8378,-147.7164,34.92,93,100,3.44,fog
59,Punta Arenas,CL,-53.15,-70.9167,51.82,81,75,31.07,light intensity shower rain
60,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,79,100,21.9,light rain
61,Fortuna,US,40.5982,-124.1573,63.52,77,0,11.5,clear sky
62,Olafsvik,IS,64.8945,-23.7142,44.65,83,100,19.26,overcast clouds
63,Albany,US,42.6001,-73.9662,50.41,56,96,1.01,overcast clouds
64,Zonguldak,TR,41.25,31.8333,54.27,97,100,1.5,overcast clouds
65,Ketchikan,US,55.3422,-131.6461,55.87,82,100,9.22,overcast clouds
66,Tasiilaq,GL,65.6145,-37.6368,33.96,89,100,4.83,overcast clouds
67,Tiksi,RU,71.6872,128.8694,15.1,89,99,9.28,overcast clouds
68,Norman Wells,CA,65.282,-126.8329,32.04,100,100,10.36,overcast clouds
69,Hermanus,ZA,-34.4187,19.2345,64.8,92,100,15.14,overcast clouds
70,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,73,0,5.75,clear sky
71,Atuona,PF,-9.8,-139.0333,77.04,66,2,15.03,clear sky
72,Goldsboro,US,35.3849,-77.9928,60.71,29,0,14.97,clear sky
73,Mar Del Plata,AR,-38.0023,-57.5575,64.09,96,75,13.8,broken clouds
74,Maracas,BR,-13.4411,-40.4308,74.21,48,81,11.65,broken clouds
